Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10nF78mOhm,
"C10, C6",0805,2,22uF2mOhm,
C11,0805,1,100nF,
"C12, C7",0805,2,1uF/10V/10%/X5R/C0603,
C2,CP_Elec_10x12.6,1,330uF25mOhm,
C4,CP_Elec_8x10.5,1,560uF 9mOhm,
"C5, C8, C9",0805,3,4.7uF3mOhm,
D1,B340LA,1,450mV3A,
D2,B340LA,1,500mV3A,
D3,D_SMA,1,B130-E3,
"D4, D5, D6",LESD5D50CT1G,3,LESD5D5.0CT1G,
D7,0805,1,LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
"J10, J9",Molex_PicoBlade_53261-0771_1x07-1MP_P1.25mm_Horizontal,2,Conn_01x07,
J11,PinSocket_1x08_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x08,
J2,Molex_PicoBlade_53398-0471_1x04-1MP_P1.25mm_Vertical,1,Conn_01x04,
"J3, J4",2843922,2,Conn_01x02,
J5,PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x07,
J6,PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x07,
J7,XT60PWM,1,xt60pm,
J8,Molex_PicoBlade_53261-1171_1x11-1MP_P1.25mm_Horizontal,1,Conn_01x11,
L1,INDPM102100X510N,1,10uH31mOhm,
L2,INDPM120120X620N,1,15uH32mOhm,
"R1, R19, R3, R7",0805,4,10K,
R10,0805,1,27k,
"R11, R12, R13, R14, R15, R16, R17, R18",0805,8,47k,
R2,0805,1,3.24K,
R4,0805,1,5.9k,
"R5, R6",0805,2,5.1k,
R8,0805,1,R,
R9,0805,1,100k,
SW1,SW_PUSH_6mm_H5mm,1,push button,
SW2,SW_PUSH_6mm_H5mm,1,push button RST,
"U1, U3",TI_SO-PowerPAD-8_ThermalVias,2,TPS5431DDA,
U2,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,
